NÂº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,Iimfa7vi,04/06/2024,15:00,ARGENTINA - LIGA PROFESIONAL,Barracas Central,Huracan,ROUND 4,3.4,3.3,2.2,1.53,2.38,1.08,8.0,1.44,2.63,2.4,1.53,2.05,1.7,3.3,1.33,1.68,2.15,7.0,6.0,9.5,21.0,8.0,6.5,9.5,21.0,15.0,13.0,19.0,41.0,41.0,34.0,41.0,67.0,501.0
2,AmRHN2pp,04/06/2024,15:00,URUGUAY - PRIMERA DIVISION,Progreso,Cerro Largo,APERTURA ,2.3,3.2,3.2,1.44,2.63,1.07,9.0,1.36,3.0,2.1,1.7,1.83,1.83,2.3,1.6,1.38,3.0,8.5,9.0,15.0,34.0,7.0,6.0,12.0,26.0,11.0,9.5,15.0,41.0,21.0,21.0,34.0,51.0,301.0
3,Y7Nqn36B,04/06/2024,19:00,BRAZIL - SERIE B,Mirassol,Guarani,ROUND 8,1.67,3.75,5.0,1.44,2.63,1.07,8.5,1.36,3.0,2.15,1.67,2.1,1.67,1.68,2.15,1.18,4.65,8.5,11.0,23.0,51.0,6.0,7.0,17.0,41.0,7.0,9.0,21.0,51.0,12.0,15.0,34.0,67.0,201.0
4,4YjC2dTP,04/06/2024,19:00,PARAGUAY - PRIMERA DIVISION,Guarani,2 de Mayo,APERTURA ,2.15,3.3,3.2,1.4,2.75,1.06,10.0,1.29,3.5,1.95,1.85,1.73,2.0,2.15,1.68,1.35,3.1,10.0,10.0,17.0,34.0,8.0,6.5,12.0,26.0,11.0,9.0,13.0,34.0,21.0,17.0,26.0,41.0,201.0
5,2TlgTqvK,04/06/2024,19:00,URUGUAY - PRIMERA DIVISION,Boston River,Nacional,APERTURA ,4.1,3.6,1.8,1.4,2.75,1.05,11.0,1.29,3.5,1.95,1.9,1.8,1.91,3.9,1.24,2.03,1.83,11.0,7.0,8.5,15.0,12.0,7.0,8.5,15.0,21.0,15.0,15.0,26.0,41.0,34.0,41.0,51.0,251.0
6,zTN9ieLp,04/06/2024,20:00,ARGENTINA - LIGA PROFESIONAL,Banfield,Newells Old Boys,ROUND 4,2.55,3.0,3.0,1.62,2.2,1.13,6.0,1.57,2.25,2.88,1.4,2.25,1.57,2.43,1.53,1.4,2.85,6.0,6.5,13.0,34.0,6.0,6.0,12.0,34.0,11.0,11.0,21.0,41.0,26.0,26.0,41.0,81.0,201.0
7,WfibbRgc,04/06/2024,20:00,ARGENTINA - LIGA PROFESIONAL,Ind. Rivadavia,Union de Santa Fe,ROUND 4,3.3,3.25,2.25,1.57,2.25,1.1,7.0,1.5,2.5,2.6,1.48,2.2,1.62,3.1,1.35,1.63,2.25,6.5,6.0,9.5,21.0,7.5,6.5,10.0,23.0,15.0,13.0,21.0,41.0,41.0,34.0,41.0,81.0,501.0
8,vLIApe5f,04/06/2024,21:00,SOUTH AMERICA - COPA LIBERTADORES,Huachipato (Chi),Gremio (Bra),GROUP STAGE ,4.0,3.4,1.95,1.44,2.63,1.07,8.5,1.36,3.0,2.15,1.67,1.95,1.8,3.7,1.26,1.88,1.98,8.5,6.5,8.5,17.0,10.0,6.5,9.0,17.0,19.0,13.0,17.0,29.0,41.0,34.0,41.0,51.0,351.0
9,E1LCkxD3,04/06/2024,21:30,BRAZIL - SERIE B,Paysandu PA,America MG,ROUND 8,2.9,3.0,2.6,1.53,2.38,1.1,7.0,1.44,2.63,2.4,1.53,2.0,1.73,2.75,1.43,1.5,2.5,7.0,7.0,11.0,26.0,7.5,6.0,11.0,23.0,13.0,12.0,17.0,41.0,29.0,26.0,41.0,51.0,1000.0
10,4peOvW47,04/06/2024,21:30,SOUTH AMERICA - COPA SUDAMERICANA,Tomayapo (Bol),Internacional (Bra),GROUP STAGE ,15.0,6.0,1.22,1.29,3.5,1.04,13.0,1.17,5.0,1.57,2.35,2.25,1.57,6.8,1.11,4.25,1.21,13.0,7.5,6.0,7.0,29.0,11.0,10.0,12.0,67.0,41.0,26.0,34.0,201.0,101.0,81.0,81.0,351.0
